"team_api_id","team_short_name","buildUpPlay","chanceCreation","defence","number_of_goals"
9857,"BOL",164,175,135,263
9858,"BRE",141,180,155,34
9860,"HEA",168,210,200,317
9864,"MAL",129,191,164,377
9865,"ALM",152,180,193,202
9867,"TEN",163,180,174,40
9868,"XER",104,159,165,38
9869,"SPG",153,185,195,200
9873,"VAL",160,188,155,256
9874,"SOC",164,184,165,246
9875,"NAP",180,215,165,514
9876,"VER",157,173,169,145
9878,"PES",152,180,145,27
9879,"FUL",142,190,138,265
9880,"CES",143,170,145,98
9882,"SAM",130,180,175,318
9885,"JUV",115,195,169,543
9888,"LEC",100,175,165,121
9891,"FRO",157,156,193,35
9904,"HAN",144,175,210,359
9905,"MAI",178,185,170,320
9906,"AMA",157,206,160,524
9908,"UTR",152,182,159,408
9910,"CEL",169,179,169,184
9911,"BOC",164,172,172,72
9912,"BIE",166,165,138,29
9925,"CEL",180,205,200,695
9927,"MOT",172,205,200,403
9930,"AAR",156,181,150,153
9931,"BAS",170,186,180,619
9938,"DUU",171,205,200,438
9941,"TOU",158,165,140,339
9956,"GRA",164,184,160,429
9976,"BAR",157,193,161,76
9984,"CEB",145,200,195,213
9985,"STL",161,182,205,341
9986,"CHA",160,148,210,201
9987,"GEN",148,182,205,348
9989,"LIE",171,169,159,113
9991,"GEN",142,184,166,390
9993,"BAC",110,185,210,174
9994,"LOK",159,154,200,279
9996,"MOU",150,150,140,42
9997,"STT",107,154,150,115
9998,"MON",160,168,138,129
9999,"ROS",125,125,205,62
10000,"ZUL",147,153,200,306
10001,"WES",148,167,210,217
10003,"SWA",135,210,210,233
10167,"PAR",152,176,166,272
10172,"QPR",141,210,210,115
10179,"SIO",155,177,146,371
10189,"S04",143,195,185,426
10190,"GAL",146,157,155,276
10191,"THU",152,166,145,279
10192,"YB",172,202,170,529
10194,"STK",150,195,153,322
10199,"LUZ",165,175,153,421
10205,"VIL",126,161,165,364
10211,"B-M",94,165,155,93
10212,"MAR",182,186,144,316
10214,"NAC",167,165,156,332
10215,"ACA",150,172,151,240
10217,"HAA",162,181,173,366
10218,"EXC",163,162,106,154
10219,"RKC",142,159,150,153
10228,"HEE",150,171,183,470
10229,"ALK",154,185,184,492
10233,"GEN",184,182,154,392
10235,"FEY",154,165,160,489
10238,"SET",149,165,140,238
10242,"TRO",148,150,140,71
10243,"ZUR",157,165,163,468
10249,"MON",162,160,210,344
10251,"HIB",148,200,200,259
10252,"AVL",170,185,145,335
10260,"MUN",134,200,163,582
10261,"NEW",152,195,161,324
10264,"BRA",145,166,150,398
10265,"WIS",135,183,205,332
10267,"VAL",116,185,175,484
10268,"ELC",171,165,158,65
10269,"STU",168,200,175,415
10278,"HER",154,178,160,36
10281,"VAL",153,172,161,170
108893,"ARL",156,141,158,21
158085,"ARO",174,160,113,101
208931,"CAP",190,160,141,37
274581,"MOP",150,150,140,71
