".id","reg_num","subj","crse","sect","title","units","instructor","days","time.start_time","time.end_time","place.building","place.room"
"course","10577","ANTH","211","F01","Introduction to Anthropology","1.0","Brightman","M-W","03:10PM","04:30","ELIOT","414"
"course","20573","ANTH","344","S01","Sex and Gender","1.0","Makley","T-Th","10:30AM","11:50","VOLLUM","120"
"course","10624","BIOL","431","F01","Field Biology of Amphibians","0.5","Kaplan","T","06:10PM","08:00","PHYSIC","240A"
"course","10626","BIOL","431","F03","Bacterial Pathogenesis","0.5",NA,NA,NA,NA,NA,"Mellies         RESCHEDULED TO OTHER SEMESTER"
"course","20626","BIOL","431","S04","Seminar in Biology","0.5","Yezerinac","Th","06:10PM","08:00","BIOL","200A"
"course","10543","CHEM","101","F","MolecularStructure and Properties","1.0","Geselbracht","M-W-F","11:00AM","11:50","VOLLUM","VLH"
"course","10544","CHEM","101","F01","MolecularStructure and Properties","0.0","Geselbracht","M","01:10PM","02:00","CHEM","301"
"course","10545","CHEM","101","F02","MolecularStructure and Properties","0.0","Geselbracht","M","02:10PM","03:00","CHEM","301"
"course","10546","CHEM","101","F03","MolecularStructure and Properties","0.0","Geselbracht","M","03:10PM","04:00","CHEM","301"
"course","10789","CHEM","101","F08","MolecularStructure and Properties","0.0","Geselbracht","T","11:00AM","11:50","PHYSIC","123"
"course","10547","CHEM","101","F04","MolecularStructure and Properties","0.0","Geselbracht","T","01:10PM","02:00","CHEM","301"
"course","10548","CHEM","101","F05","MolecularStructure and Properties","0.0","Geselbracht","T","02:10PM","03:00","CHEM","301"
"course","20575","ANTH","344","S02","Sex and Gender","1.0","Makley","T-Th","01:10PM","02:30","VOLLUM","110"
"course","10549","CHEM","101","F06","MolecularStructure and Properties","0.0","Geselbracht","T","03:10PM","04:00","CHEM","301"
"course","10550","CHEM","101","F07","MolecularStructure and Properties","0.0","Geselbracht","T","04:10PM","05:00","CHEM","301"
"course","10551","CHEM","101","FL1","MolecularStructure and Properties","0.0","Geselbracht","M","01:10PM","04:00","CHEM","308"
"course","10555","CHEM","101","FL5","MolecularStructure and Properties","0.0","Geselbracht","T","09:00AM","11:50","CHEM","308"
"course","10552","CHEM","101","FL2","MolecularStructure and Properties","0.0","Geselbracht","T","01:10PM","04:00","CHEM","308"
"course","10553","CHEM","101","FL3","MolecularStructure and Properties","0.0","Geselbracht","W","01:10PM","04:00","CHEM","308"
"course","10557","CHEM","101","FL7","MolecularStructure and Properties","0.0","Geselbracht","W","06:10PM","09:00","CHEM","308"
"course","10556","CHEM","101","FL6","MolecularStructure and Properties","0.0","Geselbracht","Th","09:00AM","11:50","CHEM","308"
"course","10554","CHEM","101","FL4","MolecularStructure and Properties","0.0","Geselbracht","Th","01:10PM","04:00","CHEM","308"
"course","10558","CHEM","101","FL8","MolecularStructure and Properties","0.0","Geselbracht","F","02:10PM","05:00","CHEM","308"
"course","20483","ANTH","348","S","Languages the Americas:Mayan","1.0","Haviland","T","06:10PM","09:00","ELIOT","419"
"course","20537","CHEM","102","S","Chemical Reactivity","1.0","Glasfeld","M-W-F","11:00AM","11:50","VOLLUM","VLH"
"course","20538","CHEM","102","S01","Chemical Reactivity","0.0","Glasfeld","M","02:10PM","03:00","CHEM","301"
"course","20539","CHEM","102","S02","Chemical Reactivity","0.0","Glasfeld","M","03:10PM","04:00","CHEM","301"
"course","20540","CHEM","102","S03","Chemical Reactivity","0.0","Glasfeld","T","02:10PM","03:00","CHEM","301"
"course","20541","CHEM","102","S04","Chemical Reactivity","0.0","Glasfeld","T","03:10PM","04:00","CHEM","301"
"course","20542","CHEM","102","S05","Chemical Reactivity","0.0","Glasfeld","T","04:10PM","05:00","PHYSIC","123"
"course","20543","CHEM","102","SL1","Chemical Reactivity","0.0","Glasfeld","M","01:10PM","04:00","CHEM","308"
"course","20544","CHEM","102","SL2","Chemical Reactivity","0.0","Glasfeld","T","01:10PM","04:00","CHEM","308"
"course","20545","CHEM","102","SL3","Chemical Reactivity","0.0","Glasfeld","W","01:10PM","04:00","CHEM","308"
"course","20546","CHEM","102","SL4","Chemical Reactivity","0.0","Glasfeld","Th","01:10PM","04:00","CHEM","308"
"course","20667","ANTH","352","S","Anthropology of Europe","1.0","Silverstein","T-Th","10:30AM","11:50","LIB","203"
"course","20547","CHEM","102","SL5","Chemical Reactivity","0.0","Glasfeld","F","02:10PM","05:00","CHEM","308"
"course","10559","CHEM","201","F","Organic Chemistry I","1.0","Shusterman","M-W-F","09:00AM","09:50","PSYCH","105"
"course","10560","CHEM","201","F01","Organic Chemistry I","0.0","Shusterman","Th","08:00AM","08:50","PHYSIC","123"
"course","10561","CHEM","201","F02","Organic Chemistry I","0.0","Shusterman","Th","09:00AM","09:50","PHYSIC","121"
"course","10562","CHEM","201","F03","Organic Chemistry I","0.0","Shusterman","Th","11:00AM","11:50","PHYSIC","123"
"course","10563","CHEM","201","F04","Organic Chemistry I","0.0","Shusterman","Th","12:00PM","12:50","PHYSIC","123"
"course","10565","CHEM","201","FL1","Organic Chemistry I","0.0","Shusterman","M","01:10PM","05:00","CHEM","209"
"course","10566","CHEM","201","FL2","Organic Chemistry I","0.0","Shusterman","T","01:10PM","05:00","CHEM","209"
"course","10567","CHEM","201","FL3","Organic Chemistry I","0.0","Shusterman","W","01:10PM","05:00","CHEM","209"
"course","20548","CHEM","202","S","Organic Chemistry II","1.0","McDougal","M-W-F","09:00AM","09:50","PSYCH","105"
"course","20571","ANTH","357","S","Prob in IndonesianEthnography","1.0","Stasch","T-Th","02:40PM","04:00","VOLLUM","309"
"course","20549","CHEM","202","S01","Organic Chemistry II","0.0","McDougal","Th","08:00AM","08:50","PHYSIC","123"
"course","20550","CHEM","202","S02","Organic Chemistry II","0.0","McDougal","Th","09:00AM","09:50","PHYSIC","121"
"course","20551","CHEM","202","S03","Organic Chemistry II","0.0","McDougal","Th","11:00AM","11:50","PHYSIC","121"
"course","20552","CHEM","202","S04","Organic Chemistry II","0.0","McDougal","Th","12:00PM","12:50","PHYSIC","123"
"course","20554","CHEM","202","SL1","Organic Chemistry II","0.0","McDougal","M","01:10PM","05:00","CHEM","209"
"course","20555","CHEM","202","SL2","Organic Chemistry II","0.0","McDougal","T","01:10PM","05:00","CHEM","209"
"course","20556","CHEM","202","SL3","Organic Chemistry II","0.0","McDougal","W","01:10PM","05:00","CHEM","209"
"course","20557","CHEM","212","S","Intro Inorganic Chemistry","1.0","Geselbracht","M-W-F","11:00AM","11:50","CHEM","301"
"course","20559","CHEM","212","SL1","Intro Inorganic Chemistry","0.0","Geselbracht","W","02:10PM","05:00","CHEM","214"
"course","20560","CHEM","212","SL2","Intro Inorganic Chemistry","0.0","Geselbracht","F","02:10PM","05:00","CHEM","214"
"course","10605","ANTH","362","F","Gender and Ethnicity China, Tibet","1.0","Makley","T-Th","10:30AM","11:50","VOLLUM","228"
"course","10582","CHEM","225","F","Environmental Chemistry","0.5","Dunne","M-W","10:00AM","10:50","CHEM","301"
"course","10568","CHEM","271","F","Analytical Chemistry","1.0","McClard","T-Th","10:30AM","11:50","CHEM","301"
"course","10569","CHEM","271","FL1","Analytical Chemistry","0.0","McClard","Th","01:10PM","05:00","CHEM","313"
"course","10570","CHEM","271","FL2","Analytical Chemistry","0.0","McClard","F","01:10PM","05:00","CHEM","313"
"course","20561","CHEM","316","S","Physical Chemistry Laboratory","0.5","Ahmadi","T","10:30AM","11:50","CHEM","301"
"course","20563","CHEM","324","S","Computational Organic Chem","0.5","Shusterman","M-W-F","10:00AM","10:50","CHEM","301"
"course","20564","CHEM","332","S","Statistical Thermodynamics","1.0","Ahmadi","M-W-F","09:00AM","09:50","CHEM","301"
"course","10571","CHEM","333","F","Quantum Mechanics  and  MolStruct","1.0","Ahmadi","M-W-F","09:00AM","09:50","CHEM","301"
"course","20565","CHEM","334","S","Advanced Inorganic Chemistry","0.5","Geselbracht","T-Th","09:00AM","10:20","PSYCH","103"
"course","10572","CHEM","343","F","Adv Synth Organic Chemistry","1.0","McDougal","M-W-F","11:00AM","11:50","CHEM","301"
"course","20570","ANTH","368","S","Myth","1.0","Stasch","T-Th","01:10PM","02:30","VOLLUM","126"
"course","10574","CHEM","391","F","Structural Biochemistry","0.5","Glasfeld","T-Th","09:00AM","10:20","CHEM","301"
"course","10576","CHEM","391","F02","Structural Biochemistry","0.0","Glasfeld","W","04:10PM","05:00","CHEM","301"
"course","10575","CHEM","391","F01","Structural Biochemistry","0.0","Glasfeld","T","04:10PM","05:00","PHYSIC","121"
"course","20566","CHEM","392","S","Metabolic Biochemistry","0.5","McClard","T-Th","09:00AM","10:20","CHEM","301"
"course","20567","CHEM","394","S","Biochemical Methods","0.5","McClard","M","06:10PM","07:00","CHEM","301"
"course","20568","CHEM","394","SL1","Biochemical Methods","0.0","McClard","T","01:10PM","05:00","CHEM","313"
"course","20569","CHEM","394","SL2","Biochemical Methods","0.0","McClard","W","01:10PM","05:00","CHEM","313"
"course","10377","CHIN","110","Y","First Year Chinese","1.0",NA,NA,NA,NA,NA,"Staff           M-T-W-Th-F12:00     VOLLUM  120"
"course","10118","CHIN","210","Y","Second Year Chinese","1.0",NA,NA,NA,NA,NA,"Staff           M-T-W-Th-F12:00     ELIOT   123"
"course","20598","CHIN","311","S","Third Year Chinese","1.0","Wu","M-W-F","09:00AM","09:50","ELIOT","121"
"course","20572","ANTH","369","S","Media  and  Culture Post-MaoChina","1.0","Makley","M-W","03:10PM","04:30","ELIOT","414"
"course","10629","CHIN","316","F","Classical Chinese","1.0","Rhew","M-W-F","09:00AM","09:50","ELIOT","121"
"course","10628","CHIN","321","F","20 Cent Chin Fiction, 1919-49","1.0","Wu","T-Th","02:40PM","04:00","ELIOT","121"
"course","10630","CHIN","326","F","Chinese Narrative Tradition","1.0","Rhew","M-W","03:10PM","04:30","ELIOT","121"
"course","20596","CHIN","334","S","Yijing: Text and Tradition","1.0","Rhew","M-W","03:10PM","04:30","ELIOT","121"
"course","20601","CHIN","341","S","20th Century Chinese Poetry","1.0","Wu","T-Th","02:40PM","04:00","ELIOT","121"
"course","20486","CLAS","363","S","Greek Tragedy","1.0","Englert","M-W-F","12:00PM","12:50","VOLLUM","126"
"course","10489","CLAS","373","F","Ancient History: Rome","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"course","20488","CLAS","374","S","Specl Topics in Roman History","1.0","Kelly","M-W","03:10PM","04:30","VOLLUM","120"
"course","20503","CRWR","201","S","Intro to Creative Writing","1.0","Hillis","M-W-F","11:00AM","11:50","PHYSIC","121"
"course","10515","CRWR","211","F","Intro Poetry Writing","1.0","Williams","M-W","03:10PM","04:30","PHYSIC","121"
"course","20659","ANTH","372","S","Indians  and  Northrn NativeAmers","1.0","Brightman","M-W","03:10PM","04:30","TBA",NA
"course","20504","CRWR","211","S","Intro Poetry Writing","1.0","Williams","M-W","03:10PM","04:30","PHYSIC","121"
"course","10516","CRWR","221","F","Intro to Fiction Writing","1.0","Hillis","M-W-F","11:00AM","11:50","PHYSIC","121"
"course","20642","CRWR","241","S","Intermediate Poetry: StudioII","1.0","Williams","T-Th","02:40PM","04:00","PHYSIC","121"
"course","10517","CRWR","250","F","Intro to ScreenwritingWrkshop","1.0","Hillis","W","06:10PM","09:00","VOLLUM","228"
"course","10518","CRWR","331","F","Adv Poet Writng: SequentVoice","1.0","Williams","T","07:10PM","10:00","VOLLUM","234"
"course","20506","CRWR","331","S","Adv Poet Writing:NaturalVoice","1.0","Williams","M","07:10PM","10:00","VOLLUM","234"
"course","10519","CRWR","332","F","Advanced Fiction Writing","1.0","Hillis","T-Th","06:10PM","07:30","ELIOT","317"
"course","20507","CRWR","332","S","Advanced Fiction Writing","1.0","Hillis","T-Th","06:10PM","07:30","ELIOT","405"
"course","10119","DANC","110","Y","Basic Technique","1.0","Mann","M-W","04:40PM","06:00","SPORTS","GYMII"
"course","10121","DANC","210","Y","Technique, Design  and Compostion","1.0","Wong","T-Th","01:10PM","02:30","SPORTS","GYMII"
"course","20672","ANTH","374","S","Urban Anthropology","1.0","Silverstein","T-Th","09:00AM","10:20","VOLLUM","120"
"course","20627","DANC","252","S","Improvisation","0.5","Mann","T-Th","05:10PM","06:30","SPORTS","GYMII"
"course","10639","DANC","311","F","Adv Techniques  and  CompositionI","1.0","Mann","T-Th","05:10PM","06:30","SPORTS","GYMII"
"course","20655","DANC","312","S","Adv Technique  and  CompositionII","1.0","Wong","T-Th","02:40PM","04:00","SPORTS","GYMII"
"course","10631","DANC","330","F","Dance Theory and Criticism","1.0","Wong","M-W","03:10PM","04:30","ELIOT","126"
"course","10324","ECON","201","F01","Intro to Economic Analysis","1.0","Clausing","M-W-F","10:00AM","10:50","VOLLUM","116"
"course","10325","ECON","201","F02","Intro to Economic Analysis","1.0","Clausing","M-W-F","11:00AM","11:50","VOLLUM","116"
"course","10326","ECON","201","FL1","Intro to Economic Analysis","0.0","Clausing","Th","03:10PM","04:00","ELIOT","314"
"course","10327","ECON","201","FL2","Intro to Economic Analysis","0.0","Clausing","Th","04:10PM","05:00","ELIOT","314"
"course","20319","ECON","201","S01","Intro to Economic Analysis","1.0","Netusil","M-W-F","10:00AM","10:50","VOLLUM","116"
"course","20320","ECON","201","S02","Intro to Economic Analysis","1.0","Netusil","M-W-F","11:00AM","11:50","VOLLUM","116"
"course","10578","ANTH","211","F02","Introduction to Anthropology","1.0","Makley","T-Th","01:10PM","02:30","VOLLUM","120"
"course","10583","ANTH","378","F","Nature, Cult  and Envirnmentalism","1.0","Brightman","T","07:10PM","10:00","ELIOT","414"
"course","20321","ECON","201","SL1","Intro to Economic Analysis","0.0","Netusil","Th","03:10PM","04:00","ELIOT","314"
"course","20322","ECON","201","SL2","Intro to Economic Analysis","0.0","Netusil","Th","04:10PM","05:00","ELIOT","314"
"course","10584","ECON","311","F","Survey of Econometric Methods","1.0","Netusil","M-W-F","10:00AM","10:50","VOLLUM","120"
"course","20574","ECON","312","S","Theory and  Practice Econometrics","1.0","Parker","M-W-F","09:00AM","09:50","VOLLUM","116"
"course","10585","ECON","313","F","Microeconomic Theory","1.0","Despins","M-W-F","09:00AM","09:50","VOLLUM","234"
"course","20576","ECON","314","S","Macroeconomic Theory","1.0","Parker","M-W-F","11:00AM","11:50","VOLLUM","120"
"course","20580","ECON","331","S","History of Economic Thought","1.0","Clausing","M-W-F","01:10PM","02:00","VOLLUM","134"
"course","10587","ECON","341","F","Monetary and Fiscal Policy","1.0","Parker","T-Th","01:10PM","02:30","VOLLUM","228"
"course","10589","ECON","342","F","International Macroeconomics","1.0","Clausing","M-W-F","01:10PM","02:00","VOLLUM","134"
"course","20585","ECON","348","S","Economics of the PublicSector","1.0","Netusil","M-W-F","02:10PM","03:00","VOLLUM","116"
"course","10586","ANTH","392","F01","Structuralism and Semiotics","1.0","Stasch","T-Th","01:10PM","02:30","VOLLUM","134"
"course","10590","ECON","351","F","Environment  and  Nat Resrce Econ","1.0","Netusil","M-W-F","02:10PM","03:00","VOLLUM","116"
"course","10591","ECON","382","F","Economics of Development","1.0","Despins","M-W-F","11:00AM","11:50","VOLLUM","234"
"course","20582","ECON","383","S","International Trade","1.0","Clausing","M-W-F","10:00AM","10:50","VOLLUM","234"
"course","10592","ECON","401","F","Seminar: Unemployment","0.5","Parker","M-W-F","12:00PM","12:50","VOLLUM","234"
"course","20602","ECON","413","S","Economics  and  Game Theory","1.0","Despins","T-Th","09:00AM","10:20","VOLLUM","234"
"course","20592","ECON","442","S","Econ Envirn, Intl Trade,Devel","1.0","Despins","T-Th","10:30AM","11:50","VOLLUM","234"
"course","10597","ECON","454","F","Economic Growth","1.0","Parker","M-W-F","10:00AM","10:50","VOLLUM","234"
"course","10503","ENG","201","F01","Intro Narr:Native AmericanLit","1.0","Arnold","M-W","03:10PM","04:30","VOLLUM","116"
"course","10774","ENG","201","F02","Intro Narr: Telling Lives","1.0","Leveen","M-W-F","01:10PM","02:00","VOLLUM","309"
"course","20508","ENG","201","S","Intro Narrative: The Essay","1.0","Duquette","M-W-F","01:10PM","02:00","VOLLUM","110"
"course","10593","ANTH","392","F02","Structuralism and Semiotics","1.0","Stasch","T-Th","02:40PM","04:00","VOLLUM","134"
"course","10504","ENG","205","F01","Intro Fict:Colonl and LaterNovels","1.0","Gillcrist","T-Th","10:30AM","11:50","ELIOT","416"
"course","10505","ENG","205","F02","Intro Fict:Portraits ofLadies","1.0","King","T-Th","10:30AM","11:50","PSYCH","108"
"course","20509","ENG","205","S","Intro Fict: The Short Story","1.0","Baker","M-W-F","01:10PM","02:00","VOLLUM","120"
