"","lon","lat"
"243",-120.1320724,39.0613784
"244",-115.1728484,36.1147065
"245",-122.1686033,37.4226924
"247",-71.0588801,42.3600825
"248",-85.7414803,38.2307653
"249",-111.8910474,40.7607793
"250",-95.712891,37.09024
"251",152.9532584,-27.7472575
"252",-80.7269854,28.3164498
"253",-85.9357122,39.2323822
"254",-84.3213409,33.7509329
"255",-1.1743197,52.3555177
"256",-73.503181,40.7330774
"259",-104.9739333,39.5480789
"261",-74.1581965,40.6119914
"262",-71.2478251,42.0653812
"264",121.774017,12.879721
"265",-2.70309,53.763201
"268",-78.6381787,35.7795897
"271",139.6917064,35.6894875
"273",-71.0588801,42.3600825
"274",-79.3831843,43.653226
"275",-91.5983959,34.7636336
"276",-1.1743197,52.3555177
"277",-79.532157,43.8169837
"278",-81.2452768,42.9849233
"279",-70.8226541,43.9653889
"280",-89.0939952,42.2711311
"281",-121.4943996,38.5815719
"282",-74.0059413,40.7127837
"283",-80.6495194,41.0997803
"285",-84.3879824,33.7489954
"286",-84.3879824,33.7489954
"287",-95.3761506,40.7667389
"288",-89.327005,41.7120889
"289",-95.712891,37.09024
"291",-84.3879824,33.7489954
"292",-88.3200715,41.7605849
"293",-97.7430608,30.267153
"294",-95.712891,37.09024
"295",-0.1277583,51.5073509
"296",-79.3831843,43.653226
"297",-100.4456984,48.8272301
"298",0.088622,52.551716
"299",-71.4128343,41.8239891
"300",4.8951679,52.3702157
"301",77.1024902,28.7040592
"302",-82.4571776,27.950575
"303",-75.6971931,45.4215296
"304",-78.9453056,34.9704419
"305",-95.712891,37.09024
"306",-95.712891,37.09024
"307",-86.902298,32.3182314
"310",-0.1277583,51.5073509
"311",-84.3879824,33.7489954
"312",-87.6297982,41.8781136
"313",-77.1945247,41.2033216
"314",-113.496482,53.541244
"315",-87.6267848,41.8865228
"316",151.2092955,-33.8688197
"317",-76.980549,38.9038899
"318",-118.2436849,34.0522342
"319",-77.071424,39.027662
"320",-88.3459048,41.730585
"321",-81.0348144,34.0007104
"322",38.9250517,15.3228767
"324",-74.0059413,40.7127837
"325",-71.4113545,41.8591927
"326",-82.9000751,32.1656221
"327",-87.6297982,41.8781136
"328",-90.5787476,41.5094771
"329",-71.3273346,42.8806437
"330",-51.92528,-14.235004
"331",-79.9958864,40.4406248
"332",-95.712891,37.09024
"333",-95.0282673,31.5646536
"334",-112.0263313,41.1616108
"335",-96.7230046,18.9712706
"336",15.472962,49.817492
"337",-99.9018131,31.9685988
"338",-85.6023643,44.3148443
"339",-121.2907796,37.9577016
"340",-72.2485171,11.3789335
"343",-89.2015169,31.5940487
"344",-73.7693176,41.0327333
"345",-87.1553002,40.9117047
"346",-75.1682132,39.9565613
"347",-93.2991931,44.9522896
"348",-80.1917902,25.7616798
"349",-99.1712821,19.4121597
"350",4.4937836,52.0207975
"351",-49.267137,-25.4289541
"352",-59.5988089,13.1132219
"354",-84.3879824,33.7489954
"355",-104.8213634,38.8338816
"356",-73.9441579,40.6781784
"357",-122.4194155,37.7749295
"359",-73.9441579,40.6781784
"360",-117.9558993,33.6947259
"361",-81.5790137,41.5331066
"362",53.847818,23.424076
"363",133.775136,-25.274398
"365",-118.2436849,34.0522342
"366",-95.712891,37.09024
"367",-86.5861037,34.7303688
"369",-94.2960772,42.4419167
"370",-105.0764774,40.5498168
"372",-99.9018131,41.4925374
"373",-84.3640829,33.7589188
"375",-3.435973,55.378051
"377",-93.097702,41.8780025
"378",-105.2551187,54.5259614
"381",-72.5778415,44.5588028
"382",-74.3118212,39.9652553
"384",-74.0059413,40.7127837
"387",-81.5157535,27.6648274
"388",-122.4194155,37.7749295
"389",-83.9811014,34.1140497
"390",-84.2420283,33.9014067
"391",-122.2020794,47.9789848
"392",-82.907123,40.4172871
"395",-3.435973,55.378051
"396",-118.2436849,34.0522342
"397",-75.2769154,39.9649391
"398",-122.6764816,45.5230622
"399",-105.7820674,39.5500507
"400",-110.926479,32.2217429
"402",2.3522219,48.856614
"403",-80.1917902,25.7616798
"404",-117.1610838,32.715738
"405",-87.6297982,41.8781136
"406",-58.3815591,-34.6036844
"407",-44.5550308,-18.512178
"411",-95.712891,37.09024
"412",-83.9811014,34.1140497
"413",-55.765835,-32.522779
"414",-95.580035,45.975551
"415",-71.3824374,42.4072107
"416",-71.0588801,42.3600825
"417",-71.0588801,42.3600825
"418",-96.7969879,32.7766642
"419",-3.7837117,52.1306607
"421",-3.8278443,40.3468454
"423",2.3522219,48.856614
"424",54.3773438,24.453884
"427",-79.3831843,43.653226
"428",-95.3698028,29.7604267
"429",-73.9447994,40.6681032
"430",-84.8413056,33.9244531
"431",24.96676,45.943161
"432",-97.1060202,32.940444
"434",-82.907123,40.4172871
"435",-70.9750541,41.9903519
"436",151.2092955,-33.8688197
"438",-80.9369983,29.0963729
"439",-96.7969879,32.7766642
"440",-74.0059413,40.7127837
"441",-87.771964,41.909611
"442",114.174146,22.302288
"443",-73.087749,41.6032207
"445",-76.3452218,37.0298687
"446",-86.902298,32.3182314
"448",-85.3232139,51.253775
"449",-80.9405602,44.5690305
"450",-113.4909267,53.544389
"451",-73.752805,43.675856
"452",-121.4943996,38.5815719
"453",-79.6903316,44.3893556
"454",-80.1917902,25.7616798
"456",-73.1149469,-40.5761897
"457",-1.1743197,52.3555177
"458",-89.0939952,42.2711311
"459",-122.4194155,37.7749295
"460",-6.2603097,53.3498053
"461",-0.1277583,51.5073509
"463",-74.0059413,40.7127837
"464",-119.4179324,36.778261
"465",-95.712891,37.09024
"466",-4.251806,55.864237
"470",-95.712891,37.09024
"471",-82.7689906,27.7691937
"472",-79.9414266,37.2709704
"473",-99.1712821,19.4121597
"475",-85.6277537,40.4797623
"477",31.5655424,6.2132663
"479",-86.5804473,35.5174913
"480",34.8952102,36.9165612
"481",-73.9712488,40.7830603
"482",2.1734035,41.3850639
"483",-83.9207392,35.9606384
