"Player","Runs","Wickets"
"MK Pandey",1586,NA
"MK Tiwary",1202,1
"ML Hayden",839,NA
"MM Patel",40,81
"MM Sharma",53,78
"MN Samuels",142,10
"MN van Wyk",135,NA
"MP Stoinis",111,9
"MR Marsh",201,20
"MS Bisla",737,NA
"MS Dhoni",2419,NA
"MS Gony",76,39
"MS Wade",33,NA
"MV Boucher",318,NA
"Mandeep Singh",760,NA
"Mashrafe Mortaza",2,1
"Misbah-ul-Haq",82,NA
"Mohammad Ashraful",12,NA
"Mohammad Asif",6,9
"Mohammad Hafeez",84,2
"Mohammed Shami",22,18
"Mustafizur Rahman",NA,19
"N Rana",78,NA
"N Saini",143,NA
"ND Doshi",13,2
"NJ Maddinson",21,NA
"NJ Rimmington",1,NA
"NK Patel",124,NA
"NL McCullum",23,NA
"NLTC Perera",326,37
"NM Coulter-Nile",40,23
"NS Naik",33,NA
"NV Ojha",1286,NA
"OA Shah",405,NA
"P Amarnath",NA,7
"P Awana",14,43
"P Dogra",141,NA
"P Kumar",314,96
"P Negi",170,17
"P Parameswaran",3,9
"P Sahu",13,3
"P Suyal",NA,2
"PA Patel",1752,NA
"PA Reddy",167,NA
"PC Valthaty",432,7
"PD Collingwood",159,5
"PJ Cummins",2,3
"PJ Sangwan",32,35
"PM Sarvesh Kumar",2,1
"PP Chawla",461,127
"PP Ojha",45,99
"PR Shah",97,NA
"PSP Handscomb",12,NA
"PV Tambe",39,28
"Pankaj Singh",12,11
"Parvez Rasool",20,4
"Q de Kock",566,NA
"R Ashwin",246,110
"R Bhatia",273,80
"R Bishnoi",17,NA
"R Dhawan",135,20
"R Dravid",1918,NA
"R McLaren",178,14
"R Ninan",6,3
"R Rampaul",52,17
"R Sathish",236,6
"R Sharma",77,42
"R Shukla",23,7
"R Tewatia",13,5
"R Vinay Kumar",285,123
"RA Jadeja",1340,84
"RE Levi",74,NA
"RE van der Merwe",144,25
"RG More",2,1
"RG Sharma",2996,16
"RJ Harris",112,47
"RJ Peterson",32,3
"RJ Quiney",105,NA
"RN ten Doeschate",238,3
"RP Singh",78,100
"RR Bhatkal",2,NA
"RR Pant",155,NA
"RR Powar",64,15
"RR Raje",18,7
"RR Rossouw",51,NA
"RR Sarwan",78,NA
"RS Bopara",468,13
"RS Gavaskar",8,NA
"RS Sodhi",2,NA
"RT Ponting",129,NA
"RV Gomez",53,6
"RV Uthappa",2721,NA
"S Anirudha",121,NA
"S Aravind",19,43
"S Badree",NA,2
"S Badrinath",1245,NA
"S Chanderpaul",33,NA
"S Dhawan",2622,4
"S Gopal",27,7
"S Kaul",11,7
"S Kaushik",1,6
"S Ladda",10,5
"S Nadeem",62,33
"S Narwal",29,6
"S Rana",82,NA
"S Randiv",4,8
"S Sohal",311,NA
"S Sreesanth",57,43
"S Sriram",38,NA
"S Tyagi",4,6
"S Vidyut",115,1
"SA Abbott",13,NA
"SA Asnodkar",352,NA
"SA Yadav",390,NA
"SB Bangar",58,6
"SB Jakati",30,50
"SB Joshi",16,1
"SB Styris",134,9
"SB Wagh",3,5
"SC Ganguly",1326,12
"SD Chitnis",92,2
"SE Bond",2,9
"SE Marsh",1715,NA
"SJ Srivastava",5,15
"SK Raina",3059,29
"SK Trivedi",61,73
"SK Warne",219,60
"SL Malinga",100,159
"SM Boland",NA,3
"SM Harwood",14,3
"SM Katich",191,NA
"SM Pollock",116,13
"SMSM Senanayake",17,9
"SN Khan",103,NA
"SN Thakur",6,1
"SP Fleming",171,NA
"SP Goswami",260,NA
"SP Narine",58,97
"SPD Smith",933,NA
"SR Tendulkar",2044,NA
"SR Watson",1869,95
"SS Iyer",406,NA
"SS Mundhe",NA,1
"SS Sarkar",NA,1
"SS Shaikh",7,NA
"SS Tiwary",1065,NA
"ST Jayasuriya",573,16
"STR Binny",542,23
"SV Samson",890,NA
"SW Billings",66,NA
"SW Tait",26,26
"Sachin Baby",89,3
"Salman Butt",172,NA
"Sandeep Sharma",28,51
"Sandeep Sharma (1)",1,8
"Shahid Afridi",46,9
"Shakib Al Hasan",400,48
"Shami Ahmed",NA,1
"Shivam Sharma",3,4
"Shoaib Ahmed",6,5
"Shoaib Akhtar",8,5
"Shoaib Malik",49,2
"Sohail Tanvir",31,24
"Sunny Gupta",1,NA
"Sunny Singh",31,NA
"Swapnil Singh",1,NA
"T Henderson",16,1
"T Kohli",20,NA
"T Shamsi",NA,3
"T Taibu",26,NA
"T Thushara",19,10
"TA Boult",NA,11
"TD Paine",29,NA
"TG Southee",33,22
"TL Suman",587,7
"TM Dilshan",1047,5
"TM Head",42,NA
"TM Srivastava",11,NA
"TP Sudhindra",NA,1
"TR Birt",59,NA
"U Kaul",1,NA
"UA Birla",15,NA
"UBT Chand",314,NA
"UT Khawaja",105,NA
"UT Yadav",82,89
"Umar Gul",19,14
"V Kohli",3237,5
"V Pratap Singh",1,12
"V Sehwag",1833,6
"VH Zol",26,NA
"VR Aaron",45,33
"VRV Singh",3,16
"VS Malik",7,6
"VS Yeligati",2,NA
"VVS Laxman",271,NA
"VY Mahesh",28,22
"W Jaffer",129,NA
"WA Mota",76,4
"WD Parnell",80,31
"WP Saha",1025,NA
"WPUJC Vaas",73,22
"X Thalaivan Sargunam",17,NA
"Y Gnaneswara Rao",18,NA
"Y Nagar",271,4
"Y Venugopal Rao",865,7
"YA Abdulla",1,15
"YK Pathan",1953,44
"YS Chahal",3,58
"YV Takawale",183,NA
"Yashpal Singh",67,NA
"Younis Khan",7,NA
"Yuvraj Singh",1862,37
"Z Khan",128,107
